Name	Lab No	Label	Group	Species	Subspecies	Haplogroup	Description	Age	Location	Reference
NC_010638.1		NC_010638.1 | Panthera uncia	Pantherinae	Panthera uncia			EF551004.1			https://doi.org/10.1007/s11427-011-4219-1; https://doi.org/10.1007/s11033-008-9257-9
OR863186.1		OR863186.1 | Panthera onca (Clade A) | Southern Arizona, USA 	Pantherinae	Panthera onca		Clade A			Southern Arizona, USA	https://doi.org/10.1093/jhered/esad082; https://doi.org/10.1016/j.jgg.2021.10.006
OR863197.1		OR863197.1 | Panthera onca (Clade A) | Guatemala 	Pantherinae	Panthera onca		Clade A			Guatemala	https://doi.org/10.1093/jhered/esad082; https://doi.org/10.1016/j.jgg.2021.10.006
KM236783.1		KM236783.1 | Panthera onca (Clade A)	Pantherinae	Panthera onca		Clade A				
OR327006.1		OR327006.1 | Panthera onca (Clade A) | Kingston Saltpeter Cave, Georgia, USA ~15ky	Pantherinae	Panthera onca		Clade A		~15ky	Kingston Saltpeter Cave, Georgia, USA	https://doi.org/10.1093/jhered/esad082
OR863188.1		OR863188.1 | Panthera onca (Clade B) | Taiama, Paraguay 	Pantherinae	Panthera onca		Clade B			Taiama, Paraguay	https://doi.org/10.1093/jhered/esad082; https://doi.org/10.1016/j.jgg.2021.10.006
OR863193.1		OR863193.1 | Panthera onca (Clade B) | Morro do Diabo, Brazil 	Pantherinae	Panthera onca		Clade B			Morro do Diabo, Brazil	https://doi.org/10.1093/jhered/esad082; https://doi.org/10.1016/j.jgg.2021.10.006
OR863195.1		OR863195.1 | Panthera onca (Clade B) | Fazenda Caiman, Brazil 	Pantherinae	Panthera onca		Clade B			Fazenda Caiman, Brazil	https://doi.org/10.1093/jhered/esad082; https://doi.org/10.1016/j.jgg.2021.10.006
OR863196.1		OR863196.1 | Panthera onca (Clade B) | Porto Primavera, Brazil 	Pantherinae	Panthera onca		Clade B			Porto Primavera, Brazil	https://doi.org/10.1093/jhered/esad082; https://doi.org/10.1016/j.jgg.2021.10.006
NC_022842.1		NC_022842.1 | Panthera onca	Pantherinae	Panthera onca						Unpublished, Genbank
pti306		pti306 | Panthera tigris | Cambodia 	Pantherinae	Panthera tigris	corbetti				Cambodia	https://doi.org/10.1016/j.cub.2018.09.019; https://doi.org/10.1038/s41559-023-02185-8
MH124079.1		MH124079.1 | Panthera tigris	Pantherinae	Panthera tigris						
AMO3308	GERA0004	AMO3308 | GERA0004 | Panthera tigris | China ~0.1ky	Pantherinae	Panthera tigris	amoyensis			~0.1ky	China	https://doi.org/10.1038/s41559-023-02185-8
pti217		pti217 | Panthera tigris | China 	Pantherinae	Panthera tigris	amoyensis				China	https://doi.org/10.1038/s41559-023-02185-8
pti292		pti292 | Panthera tigris | Thailand 	Pantherinae	Panthera tigris	corbetti				Thailand	https://doi.org/10.1016/j.cub.2018.09.019; https://doi.org/10.1038/s41559-023-02185-8
AMO3305	GERA0001	AMO3305 | GERA0001 | Panthera tigris | China ~0.1ky	Pantherinae	Panthera tigris	amoyensis			~0.1ky	China	https://doi.org/10.1038/s41559-023-02185-8
AMO3311	GERA0005	AMO3311 | GERA0005 | Panthera tigris | China ~0.1ky	Pantherinae	Panthera tigris	amoyensis			~0.1ky	China	https://doi.org/10.1038/s41559-023-02185-8
