Name	LabID	Label	Species	Subspecies	Haplogroup	Description	Age	Location	Reference
NC_020614.1		NC_020614.1 | Boselaphus tragocamelus	Boselaphus tragocamelus			Boselaphini			
NC_020788.1		NC_020788.1 | Tetracerus quadricornis	Tetracerus quadricornis			Boselaphini			
NC_020748.1	MBP15	NC_020748.1 | MBP15 | Tragelaphus angasii	Tragelaphus angasii						
NC_038064.1		NC_038064.1 | Tragelaphus buxtoni	Tragelaphus buxtoni						
NC_020749.1	SUN8	NC_020749.1 | SUN8 | Tragelaphus eurycerus	Tragelaphus eurycerus						
NC_020619.1		NC_020619.1 | Tragelaphus imberbis	Tragelaphus imberbis						
NC_020750.1	PHC13	NC_020750.1 | PHC13 | Tragelaphus oryx	Tragelaphus oryx						
NC_020751.1		NC_020751.1 | Tragelaphus scriptus	Tragelaphus scriptus						
NC_020620.1		NC_020620.1 | Tragelaphus spekii	Tragelaphus spekii						
NC_020752.1	PHC11	NC_020752.1 | PHC11 | Tragelaphus strepsiceros	Tragelaphus strepsiceros						
NC_020616.1		NC_020616.1 | Pseudoryx nghetinhensis	Pseudoryx nghetinhensis						
NC_020617.1		NC_020617.1 | Syncerus caffer	Syncerus caffer						
NC_057438.1		NC_057438.1 | Bubalus arnee	Bubalus arnee						
NC_049568.1		NC_049568.1 | Bubalus bubalis	Bubalus bubalis						
NC_006295.1		NC_006295.1 | Bubalus carabanensis	Bubalus carabanensis						
NC_020615.1		NC_020615.1 | Bubalus depressicornis	Bubalus depressicornis						
NC_060307.1		NC_060307.1 | Bubalus quarlesi	Bubalus quarlesi						
NC_010640.1		NC_010640.1 | Capricornis swinhoei	Capricornis swinhoei						
NC_020722.1		NC_020722.1 | Naemorhedus baileyi	Naemorhedus baileyi						
NC_013751.1		NC_013751.1 | Naemorhedus caudatus	Naemorhedus caudatus						
NC_021381.1		NC_021381.1 | Naemorhedus goral	Naemorhedus goral						
NC_020723.1		NC_020723.1 | Naemorhedus griseus	Naemorhedus griseus						
mAFR_0_DMN16-MAR		mAFR_0_DMN16-MAR | Ovis aries (A) | Morocco	Ovis aries		A			Morocco	10.1126/sciadv.adj0954
KP998470.1		KP998470.1 | Ovis aries (A) | China	Ovis aries		A			China	10.1126/sciadv.adj0954
KF302441.1		KF302441.1 | Ovis aries (A) | Italy	Ovis aries		A			Italy	10.1126/sciadv.adj0954
KF938345.1		KF938345.1 | Ovis aries (A) | Azerbaijan	Ovis aries		A			Azerbaijan	10.1126/sciadv.adj0954
aEU_1630_aFRAN1-DEU		aEU_1630_aFRAN1-DEU | Ovis aries (A) | Germany, ~1.5ky	Ovis aries		A		~1.5ky	Germany	10.1126/sciadv.adj0954
aGK_6925_aGUV02-TUR		aGK_6925_aGUV02-TUR | Ovis aries (A) | Turkey, ~7ky	Ovis aries		A		~7ky	Turkey	10.1126/sciadv.adj0954
KP981379.1		KP981379.1 | Ovis aries (B) | China	Ovis aries		B			China	10.1126/sciadv.adj0954
KF302452.1		KF302452.1 | Ovis aries (B) | Italy	Ovis aries		B			Italy	10.1126/sciadv.adj0954
KF977845.1		KF977845.1 | Ovis aries (B) | Benin	Ovis aries		B			Benin	10.1126/sciadv.adj0954
KF938348.1		KF938348.1 | Ovis aries (B) | Uzbekistan	Ovis aries		B			Uzbekistan	10.1126/sciadv.adj0954
aEU_7230_aDZHU1-BGR		aEU_7230_aDZHU1-BGR | Ovis aries (B) | Bulgaria, ~7ky	Ovis aries		B		~7ky	Bulgaria	10.1126/sciadv.adj0954
aEU_3930_aSILG1-GBR		aEU_3930_aSILG1-GBR | Ovis aries (B) | Scotland, ~4ky	Ovis aries		B		~4ky	Scotland	10.1126/sciadv.adj0954
aGK_6925_aGUV11-TUR		aGK_6925_aGUV11-TUR | Ovis aries (B) | Turkey, ~7ky	Ovis aries		B		~7ky	Turkey	10.1126/sciadv.adj0954
NC_001941.1		NC_001941.1 | Ovis aries (B) | Germany	Ovis aries		B	AF010406.1		Germany	
aAH2_9625_OARG022-2J		aAH2_9625_OARG022-2J | Ovis aries (Z) | Turkey, ~9.5ky	Ovis aries		Z		~9.5ky	Turkey	10.1126/sciadv.adj0954
aAH3_9850_OARG130-3C		aAH3_9850_OARG130-3C | Ovis aries (Z) | Turkey, ~10ky	Ovis aries		Z		~10ky	Turkey	10.1126/sciadv.adj0954
aAH4_10150_OARG075-4		aAH4_10150_OARG075-4 | Ovis aries (Z) | Turkey, ~10ky	Ovis aries		Z		~10ky	Turkey	10.1126/sciadv.adj0954
HM236181.1		HM236181.1 | Ovis aries (D) | Turkey	Ovis aries		D			Turkey	10.1126/sciadv.adj0954
aAH4_10150_OARG077-4		aAH4_10150_OARG077-4 | Ovis aries (D) | Turkey, ~10ky	Ovis aries		D		~10ky	Turkey	10.1126/sciadv.adj0954
aAH3_9850_OARG106-3C		aAH3_9850_OARG106-3C | Ovis aries (D) | Turkey, ~10ky	Ovis aries		D		~10ky	Turkey	10.1126/sciadv.adj0954
mAFR_0_BGL3-MAR		mAFR_0_BGL3-MAR | Ovis aries (C) | Morocco	Ovis aries		C			Morocco	10.1126/sciadv.adj0954
KF938320.1		KF938320.1 | Ovis aries (C) | China	Ovis aries		C			China	10.1126/sciadv.adj0954
KF938327.1		KF938327.1 | Ovis aries (C) | Mongolia	Ovis aries		C			Mongolia	10.1126/sciadv.adj0954
HM236178.1		HM236178.1 | Ovis aries (C) | Turkey	Ovis aries		C			Turkey	10.1126/sciadv.adj0954
HE577850.1		HE577850.1 | Ovis aries (C) | Israel	Ovis aries		C			Israel	10.1126/sciadv.adj0954
aCC_830_aGEO13-GEO		aCC_830_aGEO13-GEO | Ovis aries (C) | Georgia, ~0.5ky	Ovis aries		C		~0.5ky	Georgia	10.1126/sciadv.adj0954
HM236183.1		HM236183.1 | Ovis aries (E) | Turkey	Ovis aries		E			Turkey	10.1126/sciadv.adj0954
mOO_0_OGM15-IRN		mOO_0_OGM15-IRN | Ovis gmelini (G) | Iran	Ovis gmelini		G			Iran	10.1126/sciadv.adj0954
aKT_10730_aKORT1-TUR		aKT_10730_aKORT1-TUR | Ovis gmelini (R) | Turkey, ~11ky	Ovis gmelini		R		~11ky	Turkey	10.1126/sciadv.adj0954
HM236186.1		HM236186.1 | Ovis vignei | Kazakhstan	Ovis vignei					Kazakhstan	
