Name	Label	LabID	Species	Haplogroup	Description	Age	Location	Reference
PV138995	PV138995 | L290 | Mammuthus primigenius (Clade 1 (Eurasia)) | Bryansk Region, Yudinovo ~15ky	L290	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~15ky	Bryansk Region, Yudinovo	
MF579946	MF579946 | JK2782 | Mammuthus primigenius (Clade 1 (Eurasia)) | Kesslerloch ~17ky	JK2782	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~17ky	Kesslerloch	
EU153447	EU153447 | GM18 | Mammuthus primigenius (Clade 1 (Eurasia)) | Gydan Peninsula, Taimyr, West Siberia ~21ky	GM18	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~21ky	Gydan Peninsula, Taimyr, West Siberia	
KX176790	KX176790 | SP2411 | Mammuthus primigenius (Clade 1 (Eurasia)) | Secrets Cave, M. Ural ~15ky	SP2411	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~15ky	Secrets Cave, M. Ural	
MG334285	MG334285 | P011 | Mammuthus primigenius (Clade 1 (Eurasia)) | Taimyr Peninsula 	P011	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)		Taimyr Peninsula	
KX176786	KX176786 | SP2386 | Mammuthus primigenius (Clade 1 (Eurasia)) | Malta, Russia 	SP2386	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)		Malta, Russia	
KX176787	KX176787 | SP2387 | Mammuthus primigenius (Clade 1 (Eurasia)) | Mallta, Russia 	SP2387	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)		Mallta, Russia	
KX176788	KX176788 | SP2389 | Mammuthus primigenius (Clade 1 (Eurasia)) | Mallta, Russia 	SP2389	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)		Mallta, Russia	
KX176795	KX176795 | 10235 | Mammuthus primigenius (Clade 1 (Eurasia)) | Yakutia, Lena Delta, SW Olenyok Channel, Sobo-Sise Island, Sobo-Sise ~23ky	10235	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~23ky	Yakutia, Lena Delta, SW Olenyok Channel, Sobo-Sise Island, Sobo-Sise	
KX176796	KX176796 | 10236 | Mammuthus primigenius (Clade 1 (Eurasia)) | Yakutia, Lena Delta, SE, Bykovskiy Peninsula, Mamontovy Khayata ~24ky	10236	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~24ky	Yakutia, Lena Delta, SE, Bykovskiy Peninsula, Mamontovy Khayata	
MG334283	MG334283 | P005 | Mammuthus primigenius (Clade 1 (Eurasia)) | New Siberian Islands ~13ky	P005	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~13ky	New Siberian Islands	
EU153444	EU153444 | GM1 | Mammuthus primigenius (Clade 1 (Eurasia)) | unknown; possibly Northern Yakutia (about 66 to 76N,106-160E) 	GM1	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)		unknown; possibly Northern Yakutia (about 66 to 76N,106-160E)	
KX176756	KX176756 | SP1419 | Mammuthus primigenius (Clade 1 (Eurasia)) | Mammontoviy Klyk, Olenek-Anabar Reg., Siberia ~21ky	SP1419	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~21ky	Mammontoviy Klyk, Olenek-Anabar Reg., Siberia	
KX176754	KX176754 | SP1022 | Mammuthus primigenius (Clade 1 (Eurasia)) | Bykovsky Peninsula ~15ky	SP1022	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~15ky	Bykovsky Peninsula	
EU153455	EU153455 | GM3 | Mammuthus primigenius (Clade 1 (Eurasia)) | Fishhook mammoth, Upper Taimyra River Estuary, Taimyr Peninsula ~25ky	GM3	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~25ky	Fishhook mammoth, Upper Taimyra River Estuary, Taimyr Peninsula	
KX027490	KX027490 | L200s | Mammuthus primigenius (Clade 1 (Eurasia)) | Taimyr Peninsula ~32ky	L200s	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~32ky	Taimyr Peninsula	
PV139008	PV139008 | TB124 | Mammuthus primigenius (Clade 1 (Eurasia)) | Yakutia, Lena Delta, SE, Bykovskiy Peninsula, Mamontovy Khayata ~15ky	TB124	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~15ky	Yakutia, Lena Delta, SE, Bykovskiy Peninsula, Mamontovy Khayata	
PV138982	PV138982 | L119 | Mammuthus primigenius (Clade 1 (Eurasia)) | Chukotka, South, Kanchalan River, Kanchalan ~21ky	L119	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~21ky	Chukotka, South, Kanchalan River, Kanchalan	
KX027523	KX027523 | SEP65 | Mammuthus primigenius (Clade 1 (Eurasia)) | Upper Ikpikpuk R., North Slope, Alaska ~38ky	SEP65	Mammuthus primigenius	Clade 1 (Eurasia)	Woolly mammoth (extinct)	~38ky	Upper Ikpikpuk R., North Slope, Alaska	
