Name	Label	LabID	Species	Haplogroup	Description	Age	Location	Reference
KX176765.1	KX176765 | SP741 | Mammuthus primigenius (Clade 1, Eurasia) | Shestakova, Russia 	SP741	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)		Shestakova, Russia	
PV138998.1	PV138998 | MD177 | Mammuthus primigenius (Clade 1, Eurasia) | Allaikha River, Russia >47ky	MD177	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)	>47ky	Allaikha River, Russia	
MF579950.1	MF579950 | JK2803 | Mammuthus primigenius (Clade 1, Eurasia) | Kraków Spadzista, Poland ~30ky	JK2803	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)	~30ky	Kraków Spadzista, Poland	
PV139014.1	PV139014 | TB182 | Mammuthus primigenius (Clade 1, Eurasia) | Khatanga River, Russia ~47ky	TB182	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)	~47ky	Khatanga River, Russia	
KX176759.1	KX176759 | SP1422 | Mammuthus primigenius (Clade 1, Eurasia) | Bolshoy Lyakhovsky Islands, Russia 	SP1422	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)		Bolshoy Lyakhovsky Islands, Russia	
MG334275.1	MG334275 | L410 | Mammuthus primigenius (Clade 1, Eurasia) | Wrangel Island, Russia ~15ky	L410	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)	~15ky	Wrangel Island, Russia	
PV138990.1	PV138990 | L258 | Mammuthus primigenius (Clade 1, Eurasia) | Yakutia, Russia ~51ky	L258	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)	~51ky	Yakutia, Russia	
EU153456.1	EU153456 | GM4 | Mammuthus primigenius (Clade 1, Eurasia) | Yakutia, Russia ~25ky	GM4	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)	~25ky	Yakutia, Russia	
KX176802.1	KX176802 | 10703 | Mammuthus primigenius (Clade 1, Eurasia) | Bolshoy Lyakhovsky Islands, Russia ~44ky	10703	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)	~44ky	Bolshoy Lyakhovsky Islands, Russia	
EU153452.1	EU153452 | GM22 | Mammuthus primigenius (Clade 1, Eurasia) | Bolshoy Lyakhovsky Islands, Russia ~54ky	GM22	Mammuthus primigenius	Clade 1, Eurasia	Woolly mammoth (extinct)	~54ky	Bolshoy Lyakhovsky Islands, Russia	
